stateCode,year,min,max
007,1933,44.71,64.99
007,1934,43.11,63.52
007,1935,43.49,62.81
007,1936,43.52,63.98
007,1937,44.33,63.83
007,1938,44.89,65.27
007,1939,44.75,65.13
007,1940,41.87,61.47
007,1941,43.88,65.31
007,1942,44.5,64.45
007,1943,43.38,64.98
007,1944,44.07,64.28
007,1945,44.51,64.52
007,1946,44.51,65.92
007,1947,43.78,64.03
007,1948,43.93,63.98
007,1949,46.21,66.68
007,1950,43.84,64.17
007,1951,44.12,65.21
007,1952,44.82,65.14
007,1953,45.41,66.5
007,1954,44.61,65.7
007,1955,44.42,64.68
007,1956,44.45,64.15
007,1957,45.05,65.25
007,1958,42.88,61.93
007,1959,45.37,66.09
007,1960,43.4,63.51
007,1961,44.11,63.8
007,1962,42.91,62.83
007,1963,42.2,63.79
007,1964,43.48,64.88
007,1965,43.24,64.05
007,1966,43.1,63.58
007,1967,42.28,62.93
007,1968,43.46,64.35
007,1969,43.72,63.07
007,1970,44.03,63.92
007,1971,44.75,64.31
007,1972,44.22,62.92
007,1973,45.8,65.41
007,1974,44.28,65.02
007,1975,45.5,64.92
007,1976,43.13,64.42
007,1977,44.48,64.77
007,1978,42.93,62.9
007,1979,44.16,63.4
007,1980,44.1,64.05
007,1981,43.63,63.52
007,1982,43.89,64.04
007,1983,44.97,64.82
007,1984,44.97,64.4
007,1985,45.33,65.36
007,1986,44.95,65.21
007,1987,44.79,65.0
007,1988,43.73,64.47
007,1989,44.8,63.6
007,1990,46.95,67.42
007,1991,46.62,67.25
007,1992,44.38,63.47
007,1993,44.97,64.72
007,1994,44.7,65.35
007,1995,45.04,65.17
007,1996,44.51,63.53
007,1997,44.73,64.9
007,1998,47.33,67.48
007,1999,46.08,66.89
007,2000,44.7,64.8
007,2001,45.64,66.5
007,2002,46.88,67.42
007,2003,45.18,63.98
007,2004,46.36,65.32
007,2005,45.93,65.53
007,2006,47.18,67.47
007,2007,46.14,66.4
007,2008,45.98,66.62
007,2009,46.01,64.83
007,2010,46.85,66.46
007,2011,47.39,67.42
007,2012,48.39,68.57
007,2013,46.41,65.23
007,2014,44.86,64.57
007,2015,46.57,66.23
007,2016,47.54,67.18
007,2017,48.13,67.13
007,2018,48.0,66.29
007,2019,47.71,67.23
007,2020,48.3,67.66
007,2021,47.61,67.15
007,2022,46.51,66.54
007,2023,25.51,42.16
008,1895,58.33,79.05
008,1896,59.56,80.31
008,1897,60.18,80.66
008,1898,59.4,80.75
008,1899,59.83,80.91
008,1900,59.63,80.2
008,1901,56.98,78.97
008,1902,59.1,80.7
008,1903,58.38,79.6
008,1904,58.1,80.37
008,1905,59.74,80.35
008,1906,59.41,79.92
008,1907,59.4,81.68
008,1908,59.38,81.24
008,1909,59.18,81.15
008,1910,56.78,79.58
008,1911,60.48,82.02
008,1912,60.09,79.94
008,1913,59.39,80.6
008,1914,58.53,79.62
008,1915,58.58,79.62
008,1916,58.69,80.51
008,1917,57.58,79.98
008,1918,59.28,80.38
008,1919,60.12,80.64
008,1920,58.46,79.34
008,1921,59.93,81.98
008,1922,60.8,81.31
008,1923,59.62,80.51
008,1924,58.82,79.88
008,1925,59.75,81.12
008,1926,58.58,79.96
008,1927,59.82,82.37
008,1928,58.59,79.94
008,1929,60.3,81.09
008,1930,58.96,79.41
008,1931,59.02,80.68
008,1932,60.37,81.55
008,1933,60.12,81.6
008,1934,58.97,80.62
008,1935,58.83,80.73
008,1936,59.58,80.6
008,1937,59.44,80.23
008,1938,59.13,81.28
008,1939,59.58,81.62
008,1940,57.24,79.22
008,1941,59.2,80.48
008,1942,58.05,80.68
008,1943,57.85,81.08
008,1944,58.93,81.38
008,1945,59.76,81.73
008,1946,60.78,81.69
008,1947,60.3,80.32
008,1948,61.2,82.0
008,1949,60.9,82.24
008,1950,59.1,81.4
008,1951,59.23,81.5
008,1952,59.35,81.16
008,1953,60.44,81.17
008,1954,58.96,81.26
008,1955,58.98,81.41
008,1956,58.62,81.23
008,1957,60.69,81.26
008,1958,58.72,79.23
008,1959,60.71,80.5
008,1960,58.59,80.01
008,1961,58.86,81.16
008,1962,58.67,81.02
008,1963,58.25,80.22
008,1964,59.72,80.38
008,1965,59.57,80.82
008,1966,58.65,79.34
008,1967,59.04,81.4
008,1968,57.3,79.93
008,1969,58.53,79.45
008,1970,58.57,80.29
008,1971,59.28,81.55
008,1972,60.29,81.6
008,1973,59.66,80.86
008,1974,59.81,81.97
008,1975,60.41,81.98
008,1976,57.96,79.99
008,1977,58.28,80.57
008,1978,59.0,80.48
