city,state,scientific_name,tree_count
Decatur,Georgia,Fraxinus pennsylvanica,221
Decatur,Georgia,Acer platanoides,100
Decatur,Georgia,Acer freemanii,76
Decatur,Georgia,Acer saccharinum,67
Decatur,Georgia,Tilia cordata,56
Decatur,Georgia,Other,1338
Doraville,Georgia,Fraxinus pennsylvanica,56
Doraville,Georgia,Acer platanoides,15
Doraville,Georgia,Acer freemanii,11
Doraville,Georgia,Acer saccharinum,9
Doraville,Georgia,Tilia cordata,8
Doraville,Georgia,Other,26
Dunwoody,Georgia,Fraxinus pennsylvanica,111
Dunwoody,Georgia,Acer platanoides,79
Dunwoody,Georgia,Acer freemanii,54
Dunwoody,Georgia,Acer saccharinum,42
Dunwoody,Georgia,Tilia cordata,39
Dunwoody,Georgia,Other,610
EastPoint,Georgia,Fraxinus pennsylvanica,84
EastPoint,Georgia,Acer platanoides,48
EastPoint,Georgia,Acer freemanii,41
EastPoint,Georgia,Acer saccharinum,35
EastPoint,Georgia,Tilia cordata,33
EastPoint,Georgia,Other,343
Hapeville,Georgia,Fraxinus pennsylvanica,51
Hapeville,Georgia,Acer platanoides,31
Hapeville,Georgia,Acer freemanii,30
Hapeville,Georgia,Acer saccharinum,19
Hapeville,Georgia,Tilia cordata,17
Hapeville,Georgia,Other,100
Marietta,Georgia,Fraxinus pennsylvanica,17
Marietta,Georgia,Acer platanoides,14
Marietta,Georgia,Acer freemanii,13
Marietta,Georgia,Acer saccharinum,10
Marietta,Georgia,Tilia cordata,7
Marietta,Georgia,Other,21
SandySprings,Georgia,Fraxinus pennsylvanica,26
SandySprings,Georgia,Acer platanoides,14
SandySprings,Georgia,Acer freemanii,12
SandySprings,Georgia,Acer saccharinum,12
SandySprings,Georgia,Tilia cordata,11
SandySprings,Georgia,Other,140
Scottdale,Georgia,Fraxinus pennsylvanica,21
Scottdale,Georgia,Acer platanoides,11
Scottdale,Georgia,Acer freemanii,6
Scottdale,Georgia,Acer saccharinum,4
Scottdale,Georgia,Tilia cordata,3
Scottdale,Georgia,Other,0
Unincorporated,Georgia,Fraxinus pennsylvanica,61
Unincorporated,Georgia,Acer platanoides,52
Unincorporated,Georgia,Acer freemanii,47
Unincorporated,Georgia,Acer saccharinum,42
Unincorporated,Georgia,Tilia cordata,38
Unincorporated,Georgia,Other,255
Colorado Springs,Colorado,Fraxinus pennsylvanica,1924
Colorado Springs,Colorado,Acer platanoides,1844
Colorado Springs,Colorado,Acer freemanii,952
Colorado Springs,Colorado,Acer saccharinum,888
Colorado Springs,Colorado,Tilia cordata,841
Colorado Springs,Colorado,Other,8459
Pittsburgh,Pennsylvania,Fraxinus pennsylvanica,3715
Pittsburgh,Pennsylvania,Acer platanoides,3422
Pittsburgh,Pennsylvania,Acer freemanii,3238
Pittsburgh,Pennsylvania,Acer saccharinum,2969
Pittsburgh,Pennsylvania,Tilia cordata,2413
Pittsburgh,Pennsylvania,Other,24397
Louisville,Kentucky,Fraxinus pennsylvanica,1810
Louisville,Kentucky,Acer platanoides,1678
Louisville,Kentucky,Acer freemanii,1538
Louisville,Kentucky,Acer saccharinum,1404
Louisville,Kentucky,Tilia cordata,1086
Louisville,Kentucky,Other,25195
Cape Coral,Florida,Fraxinus pennsylvanica,6632
Cape Coral,Florida,Acer platanoides,5727
Cape Coral,Florida,Acer freemanii,3298
Cape Coral,Florida,Acer saccharinum,1724
Cape Coral,Florida,Tilia cordata,903
Cape Coral,Florida,Other,11627
Denver,Colorado,Fraxinus pennsylvanica,25736
Denver,Colorado,Acer platanoides,24178
Denver,Colorado,Acer freemanii,12961
Denver,Colorado,Acer saccharinum,12735
Denver,Colorado,Tilia cordata,11922
Denver,Colorado,Other,196819
Worcester,Massachusetts,Fraxinus pennsylvanica,9364
Worcester,Massachusetts,Acer platanoides,1346
Worcester,Massachusetts,Acer freemanii,1029
Worcester,Massachusetts,Acer saccharinum,342
Worcester,Massachusetts,Tilia cordata,335
Worcester,Massachusetts,Other,3061
Overland Park,Kansas,Fraxinus pennsylvanica,13289
Overland Park,Kansas,Acer platanoides,7654
Overland Park,Kansas,Acer freemanii,3419
Overland Park,Kansas,Acer saccharinum,1983
Overland Park,Kansas,Tilia cordata,1929
Overland Park,Kansas,Other,16493
Houston,Texas,Fraxinus pennsylvanica,44320
Houston,Texas,Acer platanoides,44059
Houston,Texas,Acer freemanii,13013
Houston,Texas,Acer saccharinum,10804
Houston,Texas,Tilia cordata,9561
Houston,Texas,Other,90029
Durham,North Carolina,Fraxinus pennsylvanica,3103
Durham,North Carolina,Acer platanoides,2777
Durham,North Carolina,Acer freemanii,1027
Durham,North Carolina,Acer saccharinum,718
Durham,North Carolina,Tilia cordata,573
Durham,North Carolina,Other,7816
San Diego,California,Fraxinus pennsylvanica,22624
San Diego,California,Acer platanoides,15129
San Diego,California,Acer freemanii,13608
San Diego,California,Acer saccharinum,13269
San Diego,California,Tilia cordata,12677
San Diego,California,Other,134913
Dallas,Texas,Fraxinus pennsylvanica,1238
Dallas,Texas,Acer platanoides,844
Dallas,Texas,Acer freemanii,761
Dallas,Texas,Acer saccharinum,691
Dallas,Texas,Tilia cordata,497
Dallas,Texas,Other,2178
Santa Rosa,California,Fraxinus pennsylvanica,468
Santa Rosa,California,Acer platanoides,203
Santa Rosa,California,Acer freemanii,155
Santa Rosa,California,Acer saccharinum,139
Santa Rosa,California,Tilia cordata,87
Santa Rosa,California,Other,161
Adair,Iowa,Fraxinus pennsylvanica,72
Adair,Iowa,Acer platanoides,53
